"id","classe","sous_classe","symbo","maxzoom","minzoom","n0","n10","n25","n50","n99"
1,"ROUTIER","Routier_route, Routier_route_sou, Routier_route_sup","Sens direct","19","17","True","False","False","False","False"
2,"ROUTIER","Routier_route, Routier_route_sou, Routier_route_sup","Sens inverse","19","17","True","False","False","False","False"
3,"ROUTIER","Routier_route","AUTOROU_LIBRE","19","4","True","True","True","True","False"
4,"ROUTIER","Routier_route","AUTOROU_PEAGE","19","4","True","True","True","True","True"
5,"ROUTIER","Routier_route","PRINCIPALE_1","19","4","True","True","True","True","False"
6,"ROUTIER","Routier_route","PRINCIPALE_2","19","4","True","True","True","True","False"
7,"ROUTIER","Routier_route","PRINCIPALE_3","19","4","True","True","True","True","False"
8,"ROUTIER","Routier_route","PRINCIPALE_4","19","4","True","True","False","True","True"
9,"ROUTIER","Routier_route","BRET_PRINCIPALE","19","4","False","True","False","False","False"
10,"ROUTIER","Routier_route","REGIONALE_1","19","4","True","True","True","True","False"
11,"ROUTIER","Routier_route","REGIONALE_2","19","4","True","True","True","True","False"
12,"ROUTIER","Routier_route","REGIONALE_3","19","4","True","True","True","True","False"
13,"ROUTIER","Routier_route","REGIONALE_4","19","4","True","True","False","True","True"
14,"ROUTIER","Routier_route","BRET_REGIONALE","19","4","False","True","False","False","False"
15,"ROUTIER","Routier_route","LOCALE_1","19","4","True","True","True","True","False"
16,"ROUTIER","Routier_route","LOCALE_2","19","4","True","True","True","True","False"
17,"ROUTIER","Routier_route","LOCALE_3","19","4","True","True","True","True","False"
18,"ROUTIER","Routier_route","LOCALE_4","19","4","True","True","False","True","True"
19,"ROUTIER","Routier_route","BRET_LOCALE","19","4","False","True","False","False","False"
20,"ROUTIER","Routier_route","NON_CLASSEE","19","14","True","False","False","False","False"
21,"ROUTIER","Routier_route","NON_CLASSEE_4","19","14","True","False","False","False","False"
22,"ROUTIER","Routier_route","NON_CLASSEE_RESTREINT","19","14","True","False","False","False","False"
23,"ROUTIER","Routier_route","NON_REVETUE_CARRO","19","12","True","True","True","False","False"
24,"ROUTIER","Routier_route","NON_REVETUE_CARRO_RESTREINT","19","12","True","False","False","False","False"
25,"ROUTIER","Routier_route","BRET_AUTO_LIBRE_1","19","13","True","True","False","False","False"
26,"ROUTIER","Routier_route","BRET_AUTO_LIBRE_2","19","13","True","False","False","False","False"
27,"ROUTIER","Routier_route","BRET_AUTO_LIBRE_3","19","13","True","False","False","False","False"
28,"ROUTIER","Routier_route","BRET_AUTO_PEAGE_1","19","13","True","True","False","False","False"
29,"ROUTIER","Routier_route","BRET_AUTO_PEAGE_2","19","13","True","False","False","False","False"
30,"ROUTIER","Routier_route","BRET_AUTO_PEAGE_3","19","13","True","False","False","False","False"
31,"ROUTIER","Routier_route","AUTOROU_CONSTR","19","9","True","True","True","True","False"
32,"ROUTIER","Routier_route","PRINCIPALE_CONSTR","19","11","True","True","True","True","False"
33,"ROUTIER","Routier_route","REGIONALE_CONSTR","19","11","True","True","True","True","False"
34,"ROUTIER","Routier_route","LOCALE_CONSTR","19","12","True","True","True","True","False"
35,"ROUTIER","Routier_chemin","CHEMIN","19","13","True","True","True","False","False"
36,"ROUTIER","Routier_chemin","PISTE_CYCLABLE","19","14","True","True","False","False","False"
37,"ROUTIER","Routier_chemin","SENTIER","19","14","True","False","False","False","False"
38,"ROUTIER","Routier_chemin","RUE_PIETONNE","19","15","True","False","False","False","False"
39,"ROUTIER","Routier_chemin","ESCALIER","19","15","True","False","False","False","False"
40,"ROUTIER","Routier_route_sou","AUTOROU_LIBRE_SOU","19","8","True","True","True","True","False"
41,"ROUTIER","Routier_route_sou","AUTOROU_PEAGE_SOU","19","8","True","True","True","True","False"
